mailstop,ms_name,ms_route,ms_route_order
UTC HSNG,UTC Housing,W,30
CHES SW,CHES SWIFT STREET,W,31
EEB/CBB,CBB/EE BIOLOGY,W,32
NMFS,NMFS,W,33
LML,LONG MARINE LAB,W,34
ARBOR,ARBORETUM,W,35
OA COLL,OAKES COLLEGE,W,36
EPC CMMU,EPC / Community Studies,W,37
OA CAFE,OAKES CAFÉ,W,38
EES,EES,W,39
FSH,FAMILY STUDENT HOUSING,W,40
ITS WEST,ITS WEST,W,41
RC OA KT,RACHEL CARSON  / OAKES KITCHEN,W,42
C8 CAFE,College Eight Cafe,W,43
RC COLL,RACHEL CARSON COLLEGE,W,44
RC FS,RACHEL CARSON COLLEGE FACULTY SERVICES,W,45
PR COLL,PORTER COLLEGE,W,46
CHES SC,CHES Student Conduct,W,47
PR KT,PORTER KITCHEN,W,48
PR FS,PORTER FACULTY SERVICES,W,49
PR KR BO,PORTER / KRESGE BUSINESS OFFICE,W,50
SCI COMM,SCIENCE COMMUNICATION,W,51
STARS,STARS,W,52
KR COLL,KRESGE COLLEGE,W,53
OWLS NEST,OWLS NEST CAFÉ,W,54
